occurrence_id,unit_id,chunk,kind,chunk_id,offset,offset_hex,opcode_hex,opcode_name,source,sub_type,text_id,unresolved
DLOC_00001,DLG_e2dcee44c746,GPL-1,GPL ,1,23,0x0017,0x4F,gpl print string,inline,compressed,,False
DLOC_00002,DLG_33724d25c948,GPL-1,GPL ,1,138,0x008A,0x4F,gpl print string,text:gstring,,2,False
DLOC_00003,DLG_cfce762186f2,GPL-1,GPL ,1,143,0x008F,0x4F,gpl print string,text:gstring,,3,False
DLOC_00004,DLG_1e1f326abae2,GPL-1,GPL ,1,154,0x009A,0x4F,gpl print string,inline,compressed,,False
DLOC_00005,DLG_1e82ab82c6de,GPL-1,GPL ,1,278,0x0116,0x48,gpl menu,text:gstring,,1,False
DLOC_00006,DLG_a8925c8ccb8e,GPL-1,GPL ,1,278,0x0116,0x48,gpl menu,inline,introduce,,False
DLOC_00007,DLG_2f14183907e2,GPL-1,GPL ,1,278,0x0116,0x48,gpl menu,inline,compressed,,False
DLOC_00008,DLG_6802c1dcf451,GPL-1,GPL ,1,278,0x0116,0x48,gpl menu,inline,compressed,,False
DLOC_00009,DLG_54f98f9eb386,GPL-1,GPL ,1,278,0x0116,0x48,gpl menu,inline,compressed,,False
DLOC_00010,DLG_0cbca5fe0c7a,GPL-1,GPL ,1,278,0x0116,0x48,gpl menu,inline,compressed,,False
DLOC_00011,DLG_3e9b033941ec,GPL-1,GPL ,1,278,0x0116,0x48,gpl menu,inline,compressed,,False
DLOC_00012,DLG_0bf25a11367c,GPL-1,GPL ,1,278,0x0116,0x48,gpl menu,inline,compressed,,False
DLOC_00013,DLG_dec6a2af15b2,GPL-1,GPL ,1,278,0x0116,0x48,gpl menu,inline,compressed,,False
DLOC_00014,DLG_edeee0b7b34c,GPL-1,GPL ,1,278,0x0116,0x48,gpl menu,inline,compressed,,False
DLOC_00015,DLG_cfa28f14183c,GPL-1,GPL ,1,278,0x0116,0x48,gpl menu,inline,compressed,,False
DLOC_00016,DLG_505dbe50a9fd,GPL-1,GPL ,1,278,0x0116,0x48,gpl menu,inline,compressed,,False
