unit_id,category,original,translation_zh_tw,status,translate,location_count,notes
EXE_spell_254E,exe_spell_name,DETONATE,爆炸術,translated,True,1,DGROUP:254E; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2557,exe_spell_name,DISINTEGRATE,分解術,translated,True,1,DGROUP:2557; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2564,exe_spell_name,PROJECT FORCE,投力術,translated,True,1,DGROUP:2564; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2572,exe_spell_name,BALLISTIC ATTACK,彈擊術,translated,True,1,DGROUP:2572; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2583,exe_spell_name,CONTROL BODY,靈控術,translated,True,1,DGROUP:2583; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2590,exe_spell_name,INERTIAL BARRIER,遲鈍柵欄,translated,True,1,DGROUP:2590; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_25A1,exe_spell_name,ANIMAL AFFINITY,類獸術,translated,True,1,DGROUP:25A1; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_25B1,exe_spell_name,ENERGY CONTAINMENT,能量封鎖,translated,True,1,DGROUP:25B1; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_25C4,exe_spell_name,LIFE DRAINING,吸取生命,translated,True,1,DGROUP:25C4; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_25D2,exe_spell_name,ABSORB DISEASE,吸收疾病,translated,True,1,DGROUP:25D2; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_25E1,exe_spell_name,ADRENALIN CONTROL,控力術,translated,True,1,DGROUP:25E1; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_25F3,exe_spell_name,BIOFEEDBACK,生體反饋,translated,True,1,DGROUP:25F3; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_25FF,exe_spell_name,BODY WEAPONRY,武體術,translated,True,1,DGROUP:25FF; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_260D,exe_spell_name,CELL ADJUSTMENT,細胞整治,translated,True,1,DGROUP:260D; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_261D,exe_spell_name,DISPLACEMENT,移置術,translated,True,1,DGROUP:261D; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_262A,exe_spell_name,ENHANCED STRENGTH,強力術,translated,True,1,DGROUP:262A; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2633,exe_spell_name,STRENGTH,強力術,translated,True,1,DGROUP:2633; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_263C,exe_spell_name,FLESH ARMOR,肉體盔甲,translated,True,1,DGROUP:263C; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2642,exe_spell_name,ARMOR,魔冑術,translated,True,1,DGROUP:2642; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2648,exe_spell_name,GRAFT WEAPON,接木術,translated,True,1,DGROUP:2648; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2655,exe_spell_name,LEND HEALTH,借體術,translated,True,1,DGROUP:2655; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2661,exe_spell_name,SHARE STRENGTH,分力術,translated,True,1,DGROUP:2661; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2670,exe_spell_name,DOMINATION,支配術,translated,True,1,DGROUP:2670; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_267B,exe_spell_name,MASS DOMINATION,群體支配,translated,True,1,DGROUP:267B; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_268B,exe_spell_name,PSYCHIC CRUSH,擊靈術,translated,True,1,DGROUP:268B; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2699,exe_spell_name,SUPERIOR INVISIBILITY,大隱形術,translated,True,1,DGROUP:2699; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_26A2,exe_spell_name,INVISIBILITY,隱形術,translated,True,1,DGROUP:26A2; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_26AF,exe_spell_name,TOWER OF IRON WILL,鋼鐵意志,translated,True,1,DGROUP:26AF; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_26C2,exe_spell_name,EGO WHIP,鞭靈術,translated,True,1,DGROUP:26C2; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_26CB,exe_spell_name,ID INSINUATION,本我暗示,translated,True,1,DGROUP:26CB; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_26DA,exe_spell_name,INTELLECT FORTRESS,智慧堡壘,translated,True,1,DGROUP:26DA; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_26ED,exe_spell_name,MENTAL BARRIER,心靈欄柵,translated,True,1,DGROUP:26ED; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_26FC,exe_spell_name,MIND BAR,意志欄柵,translated,True,1,DGROUP:26FC; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2705,exe_spell_name,MIND BLANK,虛意術,translated,True,1,DGROUP:2705; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2710,exe_spell_name,PSIONIC BLAST,靈爆術,translated,True,1,DGROUP:2710; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_271E,exe_spell_name,SYNAPTIC STATIC,凝神術,translated,True,1,DGROUP:271E; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_272E,exe_spell_name,THOUGHT SHIELD,靈盾術,translated,True,1,DGROUP:272E; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2736,exe_spell_name,SHIELD,魔盾術,translated,True,1,DGROUP:2736; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_273D,exe_spell_name,BURNING HANDS,燃燒之手,translated,True,1,DGROUP:273D; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_274B,exe_spell_name,CHARM PERSON,迷惑術,translated,True,1,DGROUP:274B; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2758,exe_spell_name,CHILL TOUCH,寒冰觸擊,translated,True,1,DGROUP:2758; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2764,exe_spell_name,COLOR SPRAY,迷彩噴霧,translated,True,1,DGROUP:2764; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2770,exe_spell_name,ENLARGE,巨大術,translated,True,1,DGROUP:2770; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2778,exe_spell_name,GAZE REFLECTION,反射術,translated,True,1,DGROUP:2778; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2788,exe_spell_name,GREASE,油脂術,translated,True,1,DGROUP:2788; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_278F,exe_spell_name,MAGIC MISSILE,魔法飛彈,translated,True,1,DGROUP:278F; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_279D,exe_spell_name,SHOCKING GRASP,震擊術,translated,True,1,DGROUP:279D; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_27AC,exe_spell_name,WALL OF FOG,霧之牆,translated,True,1,DGROUP:27AC; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_27B8,exe_spell_name,BLUR,朦朧化身,translated,True,1,DGROUP:27B8; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_27BD,exe_spell_name,DETECT INVISIBILITY,偵測隱形,translated,True,1,DGROUP:27BD; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_27D1,exe_spell_name,FLAMING SPHERE,赤焰火圈,translated,True,1,DGROUP:27D1; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_27E0,exe_spell_name,FOG CLOUD,雲靄術,translated,True,1,DGROUP:27E0; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_27EA,exe_spell_name,GLITTERDUST,彩塵術,translated,True,1,DGROUP:27EA; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_27F6,exe_spell_name,ACID ARROW,酸液之箭,translated,True,1,DGROUP:27F6; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2801,exe_spell_name,MIRROR IMAGE,幻影術,translated,True,1,DGROUP:2801; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_280E,exe_spell_name,PROTECTION FROM PARALYSIS,防禦麻痺,translated,True,1,DGROUP:280E; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2828,exe_spell_name,SCARE,驚嚇術,translated,True,1,DGROUP:2828; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_282E,exe_spell_name,STINKING CLOUD,臭雲術,translated,True,1,DGROUP:282E; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_283D,exe_spell_name,WEB,蛛網術,translated,True,1,DGROUP:283D; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2841,exe_spell_name,BLINK,閃光術,translated,True,1,DGROUP:2841; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2847,exe_spell_name,DISPEL MAGIC,解咒術,translated,True,1,DGROUP:2847; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2854,exe_spell_name,FIREBALL,火球術,translated,True,1,DGROUP:2854; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_285D,exe_spell_name,FLAME ARROW,火箭術,translated,True,1,DGROUP:285D; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2869,exe_spell_name,HASTE,迅捷術,translated,True,1,DGROUP:2869; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_286F,exe_spell_name,HOLD PERSON,定身術,translated,True,1,DGROUP:286F; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_287B,exe_spell_name,HOLD UNDEAD,不死定身,translated,True,1,DGROUP:287B; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2887,exe_spell_name,LIGHTNING BOLT,雷電術,translated,True,1,DGROUP:2887; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2896,exe_spell_name,MINUTE METEORS,流星術,translated,True,1,DGROUP:2896; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_28A5,exe_spell_name,MINOR MALISON,輕度詛咒,translated,True,1,DGROUP:28A5; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_28B3,exe_spell_name,MONSTER SUMMONING I,召喚怪物 I,translated,True,1,DGROUP:28B3; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_28C7,exe_spell_name,PROT'N FROM NORMAL MISSILES,免受飛彈攻擊,translated,True,1,DGROUP:28C7; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_28E3,exe_spell_name,SLOW,遲緩術,translated,True,1,DGROUP:28E3; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_28E8,exe_spell_name,SPIRIT ARMOR,心靈護甲,translated,True,1,DGROUP:28E8; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_28F5,exe_spell_name,VAMPIRIC TOUCH,吸血鬼爪,translated,True,1,DGROUP:28F5; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
EXE_spell_2904,exe_spell_name,CHARM MONSTER,迷惑怪物,translated,True,1,DGROUP:2904; referenced by the spell table (file 0x4512E) or psionic table (file 0x44F96)
